Zuordnung der 250 Wiener Zählbezirke in Prognoseregionen - Wien | Allocation of 250 subdistricts (census districts) to forecast areas - Vienna;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;PRG_CODE
AT13;90100;90101;1A
AT13;90100;90102;1A
AT13;90100;90103;1A
AT13;90100;90104;1A
AT13;90100;90105;1A
AT13;90100;90106;1A
AT13;90100;90107;1A
AT13;90200;90201;2A
AT13;90200;90202;2B
AT13;90200;90203;2C
AT13;90200;90204;2C
AT13;90200;90205;2B
AT13;90200;90206;2D
AT13;90200;90207;2E
AT13;90200;90208;2D
AT13;90200;90209;2E
AT13;90200;90210;2D
AT13;90300;90301;3A
AT13;90300;90302;3A
AT13;90300;90303;3B
AT13;90300;90304;3C
AT13;90300;90305;3C
AT13;90300;90306;3D
AT13;90300;90307;3E
AT13;90300;90308;3E
AT13;90300;90309;3B
AT13;90300;90310;3D
AT13;90300;90311;3E
AT13;90400;90401;4A
AT13;90400;90402;4B
AT13;90400;90403;4A
AT13;90400;90404;4B
AT13;90500;90501;5A
AT13;90500;90502;5B
AT13;90500;90503;5C
AT13;90500;90504;5A
AT13;90600;90601;6A
AT13;90600;90602;6A
AT13;90600;90603;6A
AT13;90700;90701;7A
AT13;90700;90702;7A
AT13;90700;90703;7A
AT13;90700;90704;7B
AT13;90700;90705;7B
AT13;90800;90801;8A
AT13;90800;90802;8A
AT13;90800;90803;8A
AT13;90900;90901;9A
AT13;90900;90902;9B
AT13;90900;90903;9B
AT13;90900;90904;9A
AT13;90900;90905;9B
AT13;90900;90906;9B
AT13;91000;91001;10A
AT13;91000;91002;10B
AT13;91000;91003;10C
AT13;91000;91004;10D
AT13;91000;91005;10G
AT13;91000;91006;10D
AT13;91000;91007;10F
AT13;91000;91008;10F
AT13;91000;91009;10E
AT13;91000;91010;10F
AT13;91000;91011;10H
AT13;91000;91012;10E
AT13;91000;91013;10H
AT13;91000;91014;10I
AT13;91000;91015;10I
AT13;91000;91016;10J
AT13;91000;91017;10J
AT13;91000;91018;10J
AT13;91000;91019;10J
AT13;91000;91020;10I
AT13;91000;91021;10E
AT13;91000;91022;10D
AT13;91000;91023;10C
AT13;91100;91101;11A
AT13;91100;91102;11A
AT13;91100;91103;11B
AT13;91100;91104;11B
AT13;91100;91105;11C
AT13;91100;91106;11C
AT13;91100;91107;11D
AT13;91100;91108;11D
AT13;91100;91109;11D
AT13;91100;91110;11E
AT13;91100;91111;11D
AT13;91100;91112;11D
AT13;91100;91113;11C
AT13;91200;91201;12A
AT13;91200;91202;12A
AT13;91200;91203;12D
AT13;91200;91204;12B
AT13;91200;91205;12B
AT13;91200;91206;12C
AT13;91200;91207;12C
AT13;91200;91208;12D
AT13;91200;91209;12D
AT13;91200;91210;12D
AT13;91200;91211;12E
AT13;91300;91301;13A
AT13;91300;91302;13A
AT13;91300;91303;13A
AT13;91300;91304;13B
AT13;91300;91305;13B
AT13;91300;91306;13A
AT13;91300;91307;13A
AT13;91300;91308;13C
AT13;91300;91309;13C
AT13;91300;91310;13C
AT13;91300;91311;13C
AT13;91400;91401;14A
AT13;91400;91402;14A
AT13;91400;91403;14B
AT13;91400;91404;14C
AT13;91400;91405;14D
AT13;91400;91406;14B
AT13;91400;91407;14B
AT13;91400;91408;14D
AT13;91400;91409;14D
AT13;91400;91410;14E
AT13;91400;91411;14E
AT13;91400;91412;14E
AT13;91500;91501;15A
AT13;91500;91502;15B
AT13;91500;91503;15C
AT13;91500;91504;15C
AT13;91500;91505;15C
AT13;91500;91506;15B
AT13;91500;91507;15A
AT13;91600;91601;16A
AT13;91600;91602;16A
AT13;91600;91603;16B
AT13;91600;91604;16C
AT13;91600;91605;16C
AT13;91600;91606;16D
AT13;91600;91607;16D
AT13;91600;91608;16E
AT13;91600;91609;16E
AT13;91600;91610;16B
AT13;91700;91701;17A
AT13;91700;91702;17A
AT13;91700;91703;17B
AT13;91700;91704;17C
AT13;91700;91705;17C
AT13;91700;91706;17C
AT13;91800;91801;18A
AT13;91800;91802;18B
AT13;91800;91803;18B
AT13;91800;91804;18C
AT13;91800;91805;18A
AT13;91900;91901;19A
AT13;91900;91902;19B
AT13;91900;91903;19B
AT13;91900;91904;19B
AT13;91900;91905;19C
AT13;91900;91906;19A
AT13;91900;91907;19A
AT13;91900;91908;19C
AT13;91900;91909;19A
AT13;91900;91910;19A
AT13;92000;92001;20A
AT13;92000;92002;20C
AT13;92000;92003;20D
AT13;92000;92004;20A
