Hauptwohnsitzbevoelkerung nach Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2011 | Population with main resisidence by housing in 250 sub-districts in Vienna - Census 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_TOTAL;WHG_POP_TOTAL;HAR_1;HAR_2;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_0;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_0;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_0;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_DRM_0;WHG_DRM_1;WHG_DRM_2;WHG_DRM_3;WHG_DRM_4;WHG_DRM_5;WHG_DRM_6;WHG_DRM_7;WHG_DRM_8;WHG_DFS_0;WHG_DFS_1;WHG_DFS_2;WHG_DFS_3;WHG_DFS_4;WHG_DFS_5;WHG_DFS_6;WHG_DFS_7;WHG_DFS_8;WHG_AUSST_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;DEM_GESCHL_1;DEM_GESCHL_2;DEM_GEBSTAAT_1;DEM_GEBSTAAT_2;DEM_GEBSTAAT_3;DEM_GEBSTAAT_4;DEM_GEBSTAAT_5;DEM_GEBSTAAT_6;DEM_FAMST_1;DEM_FAMST_2;DEM_FAMST_3;DEM_FAMST_4;EDU_HAB_NAT_1;EDU_HAB_NAT_2;EDU_HAB_NAT_3;EDU_HAB_NAT_0;ERW_STATUS_1;ERW_STATUS_2;ERW_STATUS_3;ERW_STATUS_4;ERW_STATUS_5;ERW_STATUS_6;AST_OENACE_1;AST_OENACE_2;AST_OENACE_3;AST_OENACE_4;AST_OENACE_5;HST_1;HST_2;HST_3;HST_4;HST_5;REFDAT
AT1;AT13;AT130;90100;90101;2148;3861;3853;8;4;1178;1124;1366;189;50;53;344;3054;360;50;195;431;2463;722;50;326;461;1114;1047;863;50;81;342;621;336;447;613;283;1088;50;47;160;249;617;644;855;557;682;50;3552;114;42;103;2920;323;322;219;10;34;22;11;0;1848;2013;2675;326;289;155;16;400;1642;1477;321;421;507;1610;1375;369;1795;82;369;899;190;526;5;89;1762;21;1984;2298;1509;42;4;8;20111031
AT1;AT13;AT130;90100;90102;781;1550;1548;2;2;377;410;668;93;2;39;155;1220;134;2;37;124;894;493;2;81;131;259;391;686;2;23;133;202;143;270;267;96;414;2;15;33;69;226;276;368;235;326;2;1466;44;14;24;1143;202;111;70;0;3;3;5;13;730;820;1030;113;144;55;3;205;635;604;145;166;213;569;572;196;675;28;196;316;71;264;4;25;669;5;847;1010;530;0;2;8;20111031
AT1;AT13;AT130;90100;90103;1023;2082;2070;12;7;476;574;875;150;29;41;234;1552;226;29;54;106;1285;608;29;79;104;362;634;874;29;23;213;283;193;295;337;172;537;29;20;35;118;288;335;499;311;447;29;1943;67;18;25;1644;22;312;0;4;7;90;1;2;1012;1070;1316;190;120;137;21;298;836;911;161;174;289;820;732;241;899;28;241;426;109;379;4;39;874;10;1155;1417;635;17;7;6;20111031
AT1;AT13;AT130;90100;90104;722;1540;1537;3;0;309;444;655;132;44;23;64;1253;156;44;15;77;879;525;44;28;87;273;374;734;44;8;131;209;161;225;218;126;418;44;0;36;68;249;236;303;251;353;44;1386;59;20;31;1467;19;32;5;0;0;2;0;15;725;815;1092;137;92;62;12;145;645;620;138;137;178;609;582;171;700;23;171;324;107;215;3;26;683;10;818;1025;471;41;0;3;20111031
AT1;AT13;AT130;90100;90105;1064;2091;2086;5;2;494;600;894;101;5;18;204;1698;166;5;58;179;1415;434;5;92;215;524;600;655;5;44;181;312;234;303;361;119;532;5;38;49;126;376;331;492;336;338;5;1933;85;35;33;1626;25;278;97;0;13;7;0;45;1003;1088;1493;162;138;82;16;200;929;797;141;224;271;863;708;249;1020;47;249;386;120;269;5;45;1006;10;1025;1416;668;0;2;5;20111031
AT1;AT13;AT130;90100;90106;1463;2635;2625;10;9;827;666;968;165;24;31;228;2157;195;24;126;244;1698;543;24;201;393;652;651;714;24;29;243;432;239;367;420;141;740;24;9;112;182;431;459;600;354;464;24;2453;70;22;66;1694;216;531;87;24;43;16;15;9;1238;1397;1905;203;159;104;15;249;1183;949;221;282;381;1126;884;244;1195;60;244;626;147;363;7;65;1165;18;1380;1567;1043;14;9;2;20111031
AT1;AT13;AT130;90100;90107;1434;2615;2614;1;1;779;736;947;152;30;23;444;1842;276;30;114;253;1639;579;30;181;291;614;687;812;30;53;213;412;194;361;406;169;777;30;50;82;128;401;437;568;382;537;30;2440;61;41;43;1731;63;522;271;28;0;0;0;0;1283;1332;1731;245;198;121;23;297;1120;1002;236;257;351;1135;891;238;1188;48;238;624;147;370;15;56;1156;8;1380;1608;975;29;1;2;20111031
AT1;AT13;AT130;90200;90201;4851;10348;10323;25;8;2139;2724;4602;875;302;54;781;8936;275;302;425;1323;8130;168;302;778;1775;5550;1871;72;302;169;2015;2317;1118;1261;1672;194;1300;302;96;833;1583;2851;1763;1815;715;390;302;9663;67;82;234;1226;675;1305;1092;1522;285;1390;479;2374;5062;5286;6965;274;676;849;529;1055;4898;3811;569;1070;2599;4417;1477;1855;4875;483;1855;1713;426;996;3;611;4640;84;5010;7458;2602;277;8;3;20111031
AT1;AT13;AT130;90200;90202;5437;11209;11139;70;63;2498;2976;4828;844;102;167;1457;8782;701;102;746;1761;8126;474;102;2059;2714;4389;1626;319;102;637;2449;2164;905;1466;1434;265;1787;102;651;1612;1557;2571;1646;1828;753;489;102;8658;613;247;1589;7863;319;1203;942;195;413;151;55;68;5589;5620;6326;489;910;1651;662;1171;5402;4153;603;1051;3224;4556;1742;1687;5066;698;1687;1840;552;1366;17;742;4899;85;5466;7601;3511;32;63;2;20111031
AT1;AT13;AT130;90200;90203;6281;12300;12291;9;9;3160;3336;4830;965;405;176;1481;9497;741;405;517;1563;8745;1070;405;1417;2476;4595;2864;543;405;369;1615;2026;1290;1774;2030;367;2424;405;278;1023;1316;2775;2203;2435;1087;778;405;10307;554;245;789;7048;870;1141;844;545;397;679;627;149;5939;6361;8263;760;834;1008;321;1114;6190;4121;824;1165;2493;5241;2950;1616;5877;554;1616;2309;698;1246;14;528;5794;85;5879;7784;4108;396;9;3;20111031
