Hauptwohnsitzbevoelkerung nach Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2021 | Population with main resisidence by housing in 250 sub-districts in Vienna - Census 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_TOTAL;WHG_POP_TOTAL;HAR_1;HAR_2;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_0;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_0;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_0;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_DRM_0;WHG_DRM_1;WHG_DRM_2;WHG_DRM_3;WHG_DRM_4;WHG_DRM_5;WHG_DRM_6;WHG_DRM_7;WHG_DRM_8;WHG_DFS_0;WHG_DFS_1;WHG_DFS_2;WHG_DFS_3;WHG_DFS_4;WHG_DFS_5;WHG_DFS_6;WHG_DFS_7;WHG_DFS_8;WHG_AUSST_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;DEM_GESCHL_1;DEM_GESCHL_2;DEM_GEBSTAAT_1;DEM_GEBSTAAT_2;DEM_GEBSTAAT_3;DEM_GEBSTAAT_4;DEM_GEBSTAAT_5;DEM_GEBSTAAT_6;DEM_FAMST_1;DEM_FAMST_2;DEM_FAMST_3;DEM_FAMST_4;EDU_HAB_NAT_0;EDU_HAB_NAT_1;EDU_HAB_NAT_2;EDU_HAB_NAT_3;ERW_STATUS_1;ERW_STATUS_2;ERW_STATUS_3;ERW_STATUS_4;ERW_STATUS_5;ERW_STATUS_6;AST_OENACE_1;AST_OENACE_2;AST_OENACE_3;AST_OENACE_4;AST_OENACE_5;HST_1;HST_2;HST_3;HST_4;HST_5;REF_DATE
AT1;AT13;AT130;90100;90101;2094;3852;3850;2;0;1138;1124;1296;294;128;62;197;3153;312;128;169;407;2394;754;128;275;445;1069;1062;873;128;40;311;619;297;492;672;237;1056;128;13;103;247;630;648;913;545;625;128;3595;129;0;0;2911;305;334;200;21;23;19;0;39;1868;1984;2479;384;294;114;37;544;1871;1336;248;397;342;773;1161;1576;1804;92;342;804;242;568;8;84;1790;12;1958;2273;1453;126;0;0;20211031
AT1;AT13;AT130;90100;90102;747;1476;1470;6;4;356;426;585;105;6;24;75;1262;109;6;38;82;847;503;6;81;102;238;368;681;6;29;126;165;115;237;254;129;415;6;9;56;51;167;244;369;252;322;6;1412;58;0;0;1074;206;123;46;0;7;10;2;8;704;772;933;116;137;61;8;221;625;615;100;136;166;268;436;606;703;22;166;260;76;249;7;35;680;3;751;977;495;0;4;0;20211031
AT1;AT13;AT130;90100;90103;1030;2007;2002;5;0;492;596;825;94;5;29;180;1636;157;5;48;104;1269;581;5;61;103;387;587;864;5;15;158;287;177;306;315;150;594;5;11;42;118;225;339;468;324;475;5;1936;66;0;0;1556;15;347;43;9;0;26;0;11;981;1026;1201;179;143;84;28;372;861;848;135;163;229;409;533;836;906;33;229;374;79;386;6;36;886;10;1069;1340;667;0;0;0;20211031
AT1;AT13;AT130;90100;90104;719;1388;1387;1;0;349;412;556;71;4;46;86;1159;93;4;15;67;808;494;4;29;79;314;306;656;4;10;106;154;124;206;231;90;463;4;10;24;55;175;230;308;231;351;4;1326;56;0;2;1340;9;33;4;0;0;0;2;0;683;705;914;144;91;37;11;191;607;554;105;122;128;255;379;626;681;21;128;286;81;191;3;24;668;7;686;897;488;3;0;0;20211031
AT1;AT13;AT130;90100;90105;1072;2099;2097;2;0;498;646;850;105;2;29;142;1771;155;2;49;183;1401;464;2;86;227;538;542;704;2;34;190;280;259;298;342;158;536;2;25;65;115;366;361;479;300;386;2;2023;74;0;0;1596;23;285;93;0;12;0;0;90;1023;1076;1419;169;127;69;25;290;985;786;107;221;246;406;570;877;1029;46;246;361;116;301;10;49;1010;4;1026;1405;694;0;0;0;20211031
AT1;AT13;AT130;90100;90106;1367;2475;2468;7;7;736;714;927;91;18;42;137;2120;158;18;97;248;1587;525;18;185;354;615;620;683;18;30;203;376;217;384;403;140;704;18;9;90;164;373;466;598;319;438;18;2377;79;0;1;1563;174;524;92;23;52;9;0;38;1186;1289;1708;175;178;88;22;304;1155;904;159;257;236;476;716;1047;1249;57;236;505;109;319;5;74;1223;4;1169;1526;931;11;7;0;20211031
AT1;AT13;AT130;90100;90107;1368;2477;2473;4;2;725;768;856;126;22;41;234;1972;208;22;99;201;1587;568;22;150;267;623;670;745;22;41;231;284;166;383;427;184;739;22;29;92;109;368;341;680;344;492;22;2393;61;1;0;1618;59;470;301;29;0;0;0;0;1261;1216;1557;214;205;93;28;380;1101;959;166;251;211;479;780;1007;1226;40;211;516;104;380;11;49;1197;9;1211;1508;951;16;2;0;20211031
AT1;AT13;AT130;90200;90201;7959;17581;17548;33;6;3674;4082;8507;1312;926;40;2216;14172;227;926;651;3098;12703;203;926;1057;2893;8567;3985;153;926;257;3971;4517;1489;2037;2468;222;1694;926;73;1072;2448;5430;2896;3050;1093;593;926;16550;105;0;0;1294;683;1438;1224;1487;252;1158;69;9976;8651;8930;10756;851;1535;1382;743;2314;9768;5875;537;1401;3233;5673;3962;4713;8813;894;3233;2030;1111;1500;9;945;8617;63;7947;12474;4646;455;6;0;20211031
AT1;AT13;AT130;90200;90202;5434;11210;11030;180;172;2564;3016;4461;997;293;148;1375;8701;693;293;694;1693;8066;464;293;1830;2533;4460;1729;365;293;551;2281;2155;871;1467;1516;266;1810;293;468;1432;1561;2586;1659;1942;821;448;293;9811;1102;0;4;7695;291;1276;991;246;396;132;0;183;5740;5470;6066;791;1083;1163;319;1788;6136;3707;469;898;1516;4339;2556;2799;5387;841;1516;1614;556;1296;15;627;5401;46;5121;7207;3718;113;172;0;20211031
AT1;AT13;AT130;90200;90203;6555;12960;12954;6;4;3284;3580;4879;1213;501;158;1433;10265;603;501;438;1792;9246;983;501;1354;2453;4865;3283;504;501;395;1735;2378;1138;1796;2114;449;2454;501;293;988;1307;2922;2360;2664;1134;791;501;11601;858;0;0;6873;959;1221;879;625;471;470;608;854;6313;6647;8180;1082;1058;785;230;1625;7267;3965;624;1104;1684;3691;3186;4399;6555;697;1684;2060;790;1174;15;512;6598;59;5776;8084;4378;494;4;0;20211031
