Hauptwohnsitzbevoelkerung nach Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2023 | Population with main resisidence by housing in 250 sub-districts in Vienna - Census 2023
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_TOTAL;WHG_POP_TOTAL;HAR_1;HAR_2;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_0;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_0;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_0;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_DRM_0;WHG_DRM_1;WHG_DRM_2;WHG_DRM_3;WHG_DRM_4;WHG_DRM_5;WHG_DRM_6;WHG_DRM_7;WHG_DRM_8;WHG_DFS_0;WHG_DFS_1;WHG_DFS_2;WHG_DFS_3;WHG_DFS_4;WHG_DFS_5;WHG_DFS_6;WHG_DFS_7;WHG_DFS_8;WHG_AUSST_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_BAUP_0;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;OBJ_BAUP_10;DEM_GESCHL_1;DEM_GESCHL_2;DEM_GEBSTAAT_1;DEM_GEBSTAAT_2;DEM_GEBSTAAT_3;DEM_GEBSTAAT_4;DEM_GEBSTAAT_5;DEM_GEBSTAAT_6;DEM_FAMST_1;DEM_FAMST_2;DEM_FAMST_3;DEM_FAMST_4;EDU_HAB_NAT_0;EDU_HAB_NAT_1;EDU_HAB_NAT_2;EDU_HAB_NAT_3;EDU_HAB_NAT_4;ERW_STATUS_1;ERW_STATUS_2;ERW_STATUS_3;ERW_STATUS_4;ERW_STATUS_5;ERW_STATUS_6;AST_OENACE_1;AST_OENACE_2;AST_OENACE_3;AST_OENACE_4;AST_OENACE_5;HST_1;HST_2;HST_3;HST_4;REF_DATE
AT1;AT13;AT130;90100;90101;2070;3869;3866;3;1;1101;1094;1386;287;111;58;247;3180;273;111;250;426;2330;752;111;365;430;1096;990;877;111;97;340;630;322;511;669;223;966;111;65;118;243;616;715;889;533;579;111;3605;153;0;0;0;2899;322;323;217;27;17;32;0;32;0;1843;2026;2394;379;292;108;29;667;1901;1334;244;390;356;385;348;1177;1603;1828;88;356;760;228;609;9;94;1791;16;1959;2288;1472;108;1;20231031
AT1;AT13;AT130;90100;90102;770;1561;1553;8;7;356;426;654;118;8;21;95;1320;117;8;54;97;905;497;8;102;113;283;394;661;8;34;163;186;160;230;259;119;402;8;13;77;59;178;322;371;194;339;8;1495;58;0;0;0;1115;221;122;70;0;15;6;3;9;0;727;834;887;127;136;51;13;347;687;647;96;131;177;171;115;456;642;707;20;177;266;70;321;4;39;679;5;834;1036;518;0;7;20231031
AT1;AT13;AT130;90100;90103;1040;2098;2094;4;0;476;606;861;155;4;27;217;1682;168;4;38;156;1294;606;4;47;125;374;647;901;4;62;188;273;188;307;336;171;569;4;15;82;111;234;360;488;337;467;4;2049;45;0;0;0;1606;12;371;47;15;0;36;0;11;0;995;1103;1172;207;127;74;22;496;884;924;135;155;232;217;187;592;870;933;26;232;353;80;474;4;40;908;5;1141;1394;704;0;0;20231031
AT1;AT13;AT130;90100;90104;708;1370;1369;1;0;345;396;539;90;4;43;100;1126;97;4;41;83;753;489;4;52;91;274;274;675;4;26;96;151;107;212;234;94;446;4;15;26;59;166;223;294;235;348;4;1306;58;0;2;0;1305;8;35;6;0;0;0;16;0;0;660;710;852;139;80;34;17;248;604;561;101;104;129;147;103;365;626;661;19;129;262;89;210;4;19;653;3;691;872;495;3;0;20231031
AT1;AT13;AT130;90100;90105;1165;2689;2686;3;1;541;684;957;506;372;15;189;1962;151;372;52;208;1579;478;372;101;250;623;590;753;372;37;232;377;253;334;390;152;542;372;25;61;155;451;447;481;317;380;372;2227;90;0;0;0;2148;27;286;98;0;15;0;0;83;32;1250;1439;1433;208;132;70;33;813;1314;1005;116;254;350;281;260;797;1001;1122;51;350;354;142;670;5;44;1097;13;1530;1558;761;369;1;20231031
AT1;AT13;AT130;90100;90106;1340;2482;2474;8;6;714;692;941;129;31;45;161;2091;154;31;98;245;1589;519;31;176;350;630;605;690;31;20;261;377;209;387;382;130;685;31;14;116;183;373;389;632;321;423;31;2370;81;0;0;0;1569;164;523;77;25;69;5;0;0;50;1179;1303;1616;182;149;84;23;428;1149;945;158;230;261;227;234;706;1054;1199;56;261;506;96;364;3;70;1170;9;1230;1527;926;23;6;20231031
AT1;AT13;AT130;90100;90107;1340;2431;2429;2;1;712;750;844;124;20;35;229;1938;209;20;108;222;1541;540;20;162;249;635;665;700;20;51;264;264;201;306;427;167;731;20;35;143;93;323;373;606;346;492;20;2348;62;1;0;0;1587;47;468;292;37;0;0;0;0;0;1204;1227;1456;220;198;85;26;446;1074;935;166;256;190;263;198;791;989;1164;43;190;507;106;421;10;46;1135;11;1229;1442;973;15;1;20231031
AT1;AT13;AT130;90200;90201;9024;20471;20450;21;4;3940;4958;9641;1928;1396;39;2865;15936;235;1396;567;3647;14660;201;1396;964;3487;9964;4521;139;1396;324;4289;5312;1727;2603;2751;224;1845;1396;105;1172;2617;6407;3615;3366;1168;625;1396;18975;100;0;0;0;1290;818;1395;1138;1511;271;1090;83;3263;9612;10044;10427;12161;1172;1772;1573;786;3007;11665;6700;568;1538;3647;3361;2586;4656;6221;10758;982;3647;2120;1209;1755;14;1107;10468;78;8804;14468;5090;909;4;20231031
AT1;AT13;AT130;90200;90202;5288;11061;10857;204;204;2488;2928;4314;1127;329;151;1359;8571;651;329;673;1632;7972;455;329;1722;2462;4396;1783;369;329;554;2363;2040;848;1409;1451;271;1796;329;517;1462;1577;2410;1595;1900;806;465;329;9691;1038;0;3;0;7547;291;1268;1008;243;394;125;0;114;71;5647;5414;5734;824;970;1056;311;2166;6053;3702;438;868;1536;2538;1578;2561;2848;5253;877;1536;1542;511;1342;12;605;5283;57;5104;7016;3716;125;204;20231031
AT1;AT13;AT130;90200;90203;6582;13124;13122;2;1;3291;3570;4879;1383;521;153;1387;10489;574;521;459;1823;9326;995;521;1354;2466;4946;3338;499;521;439;1869;2333;1111;1795;2187;436;2433;521;263;1116;1368;2978;2294;2636;1141;807;521;11777;826;0;0;0;7115;850;1180;896;625;471;446;614;73;854;6337;6787;7976;1159;1024;736;218;2011;7355;4101;601;1067;1668;2053;1525;3367;4511;6695;653;1668;2080;740;1288;13;546;6643;58;5864;8086;4519;518;1;20231031
AT1;AT13;AT130;90200;90204;6864;14380;14375;5;5;3217;3702;5748;1708;217;206;1494;11552;911;217;474;1639;10863;1187;217;1114;2461;5687;3664;1237;217;630;2649;2466;1369;1810;1942;620;2677;217;399;1329;1811;3284;2308;2699;1396;937;217;13142;1021;0;0;0;8559;313;1934;1578;822;579;250;141;118;86;6982;7398;8568;1159;1080;835;259;2479;7889;4764;657;1070;2118;2402;1765;3788;4307;6931;680;2118;2219;787;1645;19;577;6845;64;6875;9585;4578;212;5;20231031
AT1;AT13;AT130;90200;90205;4588;8994;8992;2;2;2253;2632;3237;870;34;193;1043;7229;495;34;367;1029;6771;793;34;722;1683;3673;2132;750;34;341;1433;1554;686;1326;1387;409;1824;34;259;814;913;2013;1564;1844;917;636;34;8358;593;0;9;0;5131;103;1114;1600;393;485;57;0;24;87;4463;4531;4946;784;790;519;138;1817;4805;3009;443;737;1126;1617;1172;2311;2768;4335;448;1126;1560;467;1058;12;395;4253;47;4287;5772;3188;32;2;20231031
AT1;AT13;AT130;90200;90206;4056;8977;8966;11;2;2382;2388;3325;880;1143;794;1182;5424;434;1143;486;1101;5747;500;1143;841;1614;2860;1865;654;1143;177;1241;1688;710;1109;1247;326;1336;1143;100;579;870;1859;1512;1686;688;540;1143;7508;314;8;4;1;2769;414;1768;745;122;423;51;83;107;2494;4417;4560;4953;700;913;504;206;1701;5007;2857;356;757;1107;1356;1225;2732;2557;4146;396;1107;1408;960;960;5;402;4061;33;4476;5362;3069;544;2;20231031
AT1;AT13;AT130;90200;90207;6266;12232;12228;4;4;3252;3318;4418;1240;432;126;872;10202;600;432;673;1959;8710;458;432;2274;3053;4580;1674;219;432;465;2075;2322;949;1707;1778;312;2192;432;398;1494;1596;2886;1846;2279;831;470;432;10830;970;0;0;0;7151;1804;838;1336;351;29;31;109;548;35;6143;6089;5892;904;1303;1277;348;2508;6830;3760;571;1071;1355;2804;1784;3204;3085;5881;890;1355;1902;812;1392;8;727;5820;74;5603;7135;4665;428;4;20231031
AT1;AT13;AT130;90200;90208;1795;3865;3853;12;1;896;1144;1436;388;416;959;108;2307;75;416;325;746;2286;92;416;543;752;1569;503;82;416;115;694;965;211;485;507;74;398;416;47;328;490;952;641;629;222;140;416;3354;75;15;5;4;102;309;49;713;73;160;63;85;493;1814;1866;1999;2322;191;354;173;77;748;1936;1366;253;310;558;616;851;978;862;1828;153;558;739;154;433;2;182;1764;16;1901;2476;1114;274;1;20231031
AT1;AT13;AT130;90200;90209;7458;16414;16404;10;10;3251;4112;7209;1832;555;54;1125;14299;381;555;782;2204;12534;339;555;1609;3191;7398;3537;124;555;355;3713;3878;1512;1694;2410;344;1953;555;339;1548;2688;4584;2349;2930;835;586;555;15438;421;0;0;0;2934;1466;1915;2109;3531;855;693;289;1477;1145;7833;8581;9652;552;1338;1475;1003;2394;7963;5721;1082;1648;2380;4727;3169;3537;2601;6967;1198;2380;3413;725;1731;4;986;6978;68;8378;11563;4296;545;10;20231031
AT1;AT13;AT130;90300;90301;5803;11124;11118;6;6;2801;3434;4330;553;95;213;1286;9097;433;95;473;1324;8108;1124;95;1143;1719;3889;3110;1168;95;228;1347;1991;1074;1649;1897;580;2263;95;184;689;939;2374;2272;2459;1167;945;95;10210;796;0;23;0;8436;545;619;514;292;465;37;31;0;185;5398;5726;6963;1050;948;575;123;1465;5890;3779;468;987;1287;1574;1343;3026;3894;5797;455;1287;1872;560;1153;16;479;5649;54;4926;7116;3913;89;6;20231031
AT1;AT13;AT130;90300;90302;4533;8759;8752;7;4;2169;2710;3442;434;108;166;880;7146;459;108;286;699;6447;1219;108;483;1066;2920;2839;1343;108;97;907;1404;911;1278;1505;549;2000;108;73;344;561;1811;1754;2013;1032;1063;108;8225;426;0;0;0;5962;397;568;583;775;264;37;0;110;63;4148;4611;5867;802;557;340;94;1099;4389;3160;446;764;982;1001;983;2543;3250;4342;270;982;1747;481;937;8;298;4237;46;4170;5767;2887;101;4;20231031
AT1;AT13;AT130;90300;90303;3356;6767;6761;6;6;1582;1836;2932;411;89;85;767;5492;334;89;236;732;4438;1272;89;471;924;2086;1719;1478;89;112;821;1119;754;907;1136;406;1423;89;59;365;582;1323;1292;1562;725;770;89;6459;219;0;0;0;3336;901;1304;325;252;31;8;71;108;431;3160;3607;3880;664;583;238;79;1323;3443;2505;290;529;910;788;692;1794;2583;3170;194;910;1094;358;1041;17;225;3072;37;3416;4558;2127;76;6;20231031
AT1;AT13;AT130;90300;90304;5680;10884;10876;8;6;2900;3032;4180;766;147;96;1631;8199;811;147;673;1650;7725;689;147;1769;2408;4101;1856;603;147;400;1833;1969;880;1556;1696;342;2061;147;328;1185;1374;2369;1866;2020;975;620;147;9889;848;0;0;0;5237;765;2371;1564;621;114;58;86;42;26;5360;5524;5339;890;1375;921;169;2190;6052;3481;462;889;1268;2099;1518;2924;3075;5414;688;1268;1608;608;1298;9;580;5289;68;4938;6473;4266;139;6;20231031
AT1;AT13;AT130;90300;90305;4478;8705;8702;3;2;2178;2580;3356;589;171;110;1383;6657;384;171;376;1190;6523;445;171;857;1609;3570;2167;331;171;200;1341;1599;872;1188;1417;327;1590;171;147;619;909;2156;1570;1785;777;571;171;8138;396;0;0;0;3793;257;418;765;677;576;976;86;392;765;4159;4546;4940;686;935;557;151;1436;4557;3036;382;730;1018;1327;1042;2462;2856;4458;365;1018;1528;447;889;11;395;4323;41;3935;5545;2994;164;2;20231031
AT1;AT13;AT130;90300;90306;8120;14808;14803;5;3;4391;4332;5192;890;172;151;1253;12600;632;172;928;2861;10320;527;172;2851;3653;5657;2134;341;172;394;2308;3079;1219;1933;2649;443;2611;172;404;1418;1915;3473;2725;2988;1121;592;172;13888;745;0;3;0;6525;2423;2116;1339;449;671;251;235;428;371;7127;7681;8712;788;1514;1139;426;2229;7636;4872;779;1521;1601;3130;2506;3921;3650;7195;910;1601;2875;617;1610;27;816;7070;72;6823;8870;5768;167;3;20231031
AT1;AT13;AT130;90300;90307;5433;10717;10706;11;3;3030;2802;3814;1068;946;23;1336;8061;351;946;660;2950;6083;78;946;1347;3146;4037;1091;150;946;220;1750;2870;543;1212;2086;98;992;946;166;701;1276;2906;1709;2239;584;190;946;9552;216;0;3;8;850;22;1530;813;240;541;366;201;928;5218;5187;5530;5323;561;1100;857;320;2556;6192;3225;429;871;1381;1949;1534;2967;2886;5551;544;1381;1187;617;1437;6;594;5353;63;4701;6240;3755;719;3;20231031
AT1;AT13;AT130;90300;90308;1018;2549;2548;1;0;517;690;892;450;539;115;3;1835;57;539;23;156;1645;186;539;38;192;1056;493;231;539;9;187;345;284;262;445;109;369;539;0;41;175;486;497;407;257;147;539;1986;17;7;0;0;839;7;126;642;7;552;9;8;15;344;1336;1213;1615;252;224;94;51;313;1388;770;134;257;291;402;408;729;719;1163;198;291;464;148;285;0;125;1216;8;1200;1475;655;419;0;20231031
AT1;AT13;AT130;90300;90309;4452;8779;8766;13;12;2035;2620;3723;389;13;172;929;7332;333;13;238;817;6038;1673;13;552;1227;2980;2197;1810;13;89;930;1420;954;1402;1569;458;1944;13;50;385;680;1864;1747;2117;1000;923;13;8348;416;0;2;0;5519;311;723;484;319;502;151;428;143;199;4056;4723;5683;874;681;386;102;1053;4394;3203;446;736;1135;1033;907;2422;3282;4364;275;1135;1634;477;894;9;366;4196;53;4155;5982;2785;0;12;20231031
AT1;AT13;AT130;90300;90310;5049;10084;10075;9;8;2461;2802;3914;899;239;64;682;8757;342;239;619;2359;6645;222;239;1612;2945;3796;1392;100;239;344;2071;2578;686;1265;1520;114;1267;239;293;963;1517;2981;1464;1928;522;177;239;9412;432;1;0;0;2654;2312;307;224;205;1672;91;0;13;2606;4972;5112;5040;676;1144;857;414;1953;5678;3185;345;876;1439;2197;1444;2446;2558;5048;687;1439;1301;472;1137;6;500;5083;55;4440;6581;3265;230;8;20231031
AT1;AT13;AT130;90300;90311;2479;4985;4977;8;8;1162;1246;2408;161;8;3;779;4138;57;8;271;1232;3451;23;8;751;1154;2216;834;22;8;103;1203;1486;355;559;705;38;528;8;80;435;654;1825;663;918;276;126;8;4932;45;0;0;0;0;1125;679;242;0;172;2;0;609;2156;2366;2619;2856;218;587;386;199;739;2674;1624;171;516;854;1023;748;1167;1193;2505;301;854;621;205;499;0;280;2475;30;2200;3460;1517;0;8;20231031
AT1;AT13;AT130;90400;90401;1226;2284;2284;0;0;629;656;901;98;0;39;183;1960;102;0;156;248;1421;459;0;242;366;625;528;523;0;48;262;379;179;333;374;126;583;0;22;126;186;409;401;539;296;305;0;2190;94;0;0;0;1374;592;160;107;51;0;0;0;0;0;1100;1184;1247;244;269;83;38;403;1236;744;122;182;252;229;184;643;976;1122;85;252;357;110;358;7;58;1127;6;1086;1402;882;0;0;20231031
AT1;AT13;AT130;90400;90402;5435;11579;11567;12;3;2670;2900;4517;1489;948;170;1357;8644;460;948;367;1098;7597;1569;948;929;1570;3486;2898;1748;948;196;1336;1911;1047;1567;1761;511;2302;948;129;640;1013;2229;1978;2390;1167;1085;948;10133;497;0;1;1;7131;550;1315;656;289;385;205;360;99;588;5838;5741;6307;1172;1002;586;270;2242;6157;3924;405;1093;1412;1791;1252;2979;4145;5516;677;1412;1629;633;1712;11;474;5578;71;5445;7066;3641;869;3;20231031
AT1;AT13;AT130;90400;90403;6429;12549;12540;9;2;3246;3610;4667;1024;553;186;1637;9536;637;553;480;1284;8602;1630;553;860;1903;4015;3338;1880;553;180;1354;1976;1231;1719;2062;696;2778;553;138;534;943;2461;2323;2884;1484;1229;553;11389;603;1;3;0;8060;138;1042;1052;772;772;34;43;147;489;5925;6624;7509;1298;984;576;172;2010;6886;3991;644;1028;1325;1542;1206;3575;4901;6400;447;1325;2231;775;1371;10;443;6240;61;5795;7550;4453;544;2;20231031
AT1;AT13;AT130;90400;90404;3386;6712;6710;2;1;1584;1924;2841;362;77;63;932;5274;366;77;233;670;5010;722;77;500;1090;2535;1849;661;77;134;810;1164;724;1005;1101;348;1349;77;91;498;724;1378;1327;1382;648;587;77;6340;295;0;0;0;3155;183;2006;888;174;233;47;23;3;0;3256;3456;4022;581;533;402;144;1030;3628;2240;302;542;827;1037;735;1800;2313;3301;350;827;1146;412;676;10;274;3267;45;3116;4386;2250;75;1;20231031
AT1;AT13;AT130;90500;90501;6316;11309;11299;10;5;3384;3588;3856;476;154;217;1445;8890;603;154;621;1651;8092;791;154;1471;2147;4501;2325;711;154;265;1259;1922;1003;1646;2119;480;2461;154;224;668;1073;2331;2142;2682;1205;830;154;10414;741;0;0;0;6561;449;289;1047;1123;873;347;174;275;171;5492;5817;7062;1104;872;641;216;1414;6418;3518;451;922;1046;1540;1341;3223;4159;6169;488;1046;1851;592;1163;16;510;6019;56;4708;6663;4497;144;5;20231031
AT1;AT13;AT130;90500;90502;9974;19390;19383;7;7;5058;5222;7589;1514;83;174;1643;16536;954;83;1437;3600;13633;637;83;3745;5524;7575;2164;299;83;846;4165;4196;1366;2449;2911;377;2997;83;714;2898;2986;4586;2975;3278;1279;591;83;18002;1262;0;43;0;6856;4333;4771;1407;663;271;496;158;145;290;9706;9684;9556;1102;2068;2057;855;3752;10291;6349;859;1891;2493;5258;3043;4614;3982;9036;1539;2493;3133;896;2293;16;1101;9124;101;9048;12128;7179;76;7;20231031
