objekt_id,breitengrad,laengengrad,gemeindebezirk_code,gemeindebezirk_bisher,gemeindebezirk_polygon,zaehlgebiet_code,zaehlbezirk_code,sub_district_code,prognoseregion_code,gebietstyp_code,gebietstyp,aggregierter_gebietstyp_code,aggregierter_gebietstyp,zuordnungsmethode,geometrie_datenstand,anzahl_polygon_treffer,grenzfall,grenznah_unter_1m,grenzdistanz_meter,bezirk_konsistent,zaehlbezirk_konsistent,qualitaetsstatus
18995,48.252396,16.366684,19,19,19,19026,1902,91902,19B,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,48.750,1,1,eindeutig_zugeordnet
18996,48.184116,16.360534,5,5,5,05025,0502,90502,5B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,42.035,1,1,eindeutig_zugeordnet
19041,48.212466,16.371659,1,1,1,01065,0106,90106,1A,A,"Zentrum, Altstadt und Gründerzeit",AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,33.571,1,1,eindeutig_zugeordnet
19042,48.194742,16.308535,14,14,14,14047,1404,91404,14C,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,34.199,1,1,eindeutig_zugeordnet
19043,48.212611,16.321739,16,16,16,16044,1604,91604,16C,I,überwiegend industriell-gewerbliche Nutzung,ZI,industriell-gewerblich oder durch sonstige Nutzungen dominierte Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,58.712,1,1,eindeutig_zugeordnet
19044,48.189745,16.327740,15,15,15,15055,1505,91505,15C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,21.785,1,1,eindeutig_zugeordnet
19045,48.144368,16.291233,23,23,23,23070,2307,92307,23C,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,47.027,1,1,eindeutig_zugeordnet
19046,48.197287,16.301091,14,14,14,14044,1404,91404,14C,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,57.633,1,1,eindeutig_zugeordnet
19047,48.252438,16.296937,19,19,19,19100,1910,91910,19A,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,70.212,1,1,eindeutig_zugeordnet
19048,48.169902,16.378279,10,10,10,10031,1003,91003,10C,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,30.939,1,1,eindeutig_zugeordnet
19049,48.154107,16.328438,23,23,23,23030,2303,92303,23B,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,151.268,1,1,eindeutig_zugeordnet
18997,48.227376,16.295229,17,17,17,17052,1705,91705,17C,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,71.115,1,1,eindeutig_zugeordnet
18998,48.254022,16.408168,21,21,21,21233,2123,92123,21D,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,15.804,1,1,eindeutig_zugeordnet
18999,48.197114,16.283166,14,14,14,14064,1406,91406,14B,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,8.006,1,1,eindeutig_zugeordnet
19000,48.141313,16.281350,23,23,23,23111,2311,92311,23E,Y,heterogene Bebauung mit Überhang an Geschoßwohnungen,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,48.780,1,1,eindeutig_zugeordnet
19001,48.172298,16.412456,11,11,11,11036,1103,91103,11B,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,44.660,1,1,eindeutig_zugeordnet
19002,48.237839,16.308945,18,18,18,18052,1805,91805,18A,H,Cottages,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,32.112,1,1,eindeutig_zugeordnet
19003,48.158179,16.362918,10,10,10,10130,1013,91013,10H,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,61.392,1,1,eindeutig_zugeordnet
19004,48.198798,16.401140,3,3,3,03101,0310,90310,3D,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,56.604,1,1,eindeutig_zugeordnet
19005,48.267956,16.384875,21,21,21,21180,2118,92118,21F,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,78.599,1,1,eindeutig_zugeordnet
19006,48.227707,16.356520,9,9,9,09014,0901,90901,9A,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,14.239,1,1,eindeutig_zugeordnet
19007,48.215753,16.383891,2,2,2,02051,0205,90205,2B,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,5.265,1,1,eindeutig_zugeordnet
19008,48.208799,16.211940,14,14,14,14121,1412,91412,14E,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,61.495,1,1,eindeutig_zugeordnet
19009,48.168566,16.421666,11,11,11,11050,1105,91105,11C,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,44.925,1,1,eindeutig_zugeordnet
19010,48.207815,16.252436,14,14,14,14102,1410,91410,14E,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,43.295,1,1,eindeutig_zugeordnet
19011,48.236799,16.387936,20,20,20,20023,2002,92002,20C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,58.017,1,1,eindeutig_zugeordnet
19012,48.185361,16.339550,12,12,12,12012,1201,91201,12A,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,17.657,1,1,eindeutig_zugeordnet
19013,48.229824,16.420106,22,22,22,22113,2211,92211,22F,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,69.764,1,1,eindeutig_zugeordnet
19014,48.211262,16.327535,16,16,16,16014,1601,91601,16A,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,24.212,1,1,eindeutig_zugeordnet
19015,48.225596,16.359694,9,9,9,09016,0901,90901,9A,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,48.193,1,1,eindeutig_zugeordnet
19016,48.221726,16.318183,17,17,17,17034,1703,91703,17B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,23.012,1,1,eindeutig_zugeordnet
19017,48.167297,16.282838,13,13,13,13082,1308,91308,13C,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,65.764,1,1,eindeutig_zugeordnet
19018,48.235731,16.486376,22,22,22,22060,2206,92206,22A,X,heterogene Bebauung mit Überhang an Einfamilien- und Reihenhäusern,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,115.099,1,1,eindeutig_zugeordnet
19019,48.181454,16.349242,5,5,5,05020,0502,90502,5B,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,56.756,1,1,eindeutig_zugeordnet
19020,48.197191,16.320086,15,15,15,15064,1506,91506,15B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,37.548,1,1,eindeutig_zugeordnet
19021,48.274717,16.408582,21,21,21,21104,2110,92110,21B,X,heterogene Bebauung mit Überhang an Einfamilien- und Reihenhäusern,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,80.143,1,1,eindeutig_zugeordnet
19022,48.210298,16.320893,16,16,16,16101,1610,91610,16B,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,50.052,1,1,eindeutig_zugeordnet
19023,48.186832,16.333433,15,15,15,15045,1504,91504,15C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,18.497,1,1,eindeutig_zugeordnet
19024,48.262739,16.404171,21,21,21,21213,2121,92121,21G,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,35.390,1,1,eindeutig_zugeordnet
19025,48.202116,16.336272,15,15,15,15014,1501,91501,15A,Z,überwiegend städtische Infrastruktur und sonstige Nutzungen,ZI,industriell-gewerblich oder durch sonstige Nutzungen dominierte Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,68.066,1,1,eindeutig_zugeordnet
19026,48.237362,16.378256,20,20,20,20071,2007,92007,20B,JN,Neubau ab 1991 und Stadterweiterung,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,101.660,1,1,eindeutig_zugeordnet
19028,48.212757,16.474921,22,22,22,22241,2224,92224,22H,X,heterogene Bebauung mit Überhang an Einfamilien- und Reihenhäusern,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,221.907,1,1,eindeutig_zugeordnet
19029,48.137232,16.235791,23,23,23,23160,2316,92316,23F,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,34.797,1,1,eindeutig_zugeordnet
19030,48.138236,16.238608,23,23,23,23160,2316,92316,23F,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,112.316,1,1,eindeutig_zugeordnet
19031,48.240889,16.369571,20,20,20,20040,2004,92004,20A,JN,Neubau ab 1991 und Stadterweiterung,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,110.092,1,1,eindeutig_zugeordnet
19032,48.252186,16.352583,19,19,19,19052,1905,91905,19C,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,102.974,1,1,eindeutig_zugeordnet
19033,48.191887,16.292387,14,14,14,14031,1403,91403,14B,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,62.163,1,1,eindeutig_zugeordnet
19027,48.191989,16.307910,14,14,14,14037,1403,91403,14B,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,35.630,1,1,eindeutig_zugeordnet
19035,48.186310,16.372169,4,4,4,04045,0404,90404,4B,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,11.340,1,1,eindeutig_zugeordnet
19036,48.185530,16.352591,5,5,5,05033,0503,90503,5C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,33.392,1,1,eindeutig_zugeordnet
19037,48.276525,16.412389,21,21,21,21100,2110,92110,21B,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,26.408,1,1,eindeutig_zugeordnet
19038,48.169467,16.325276,12,12,12,12081,1208,91208,12D,I,überwiegend industriell-gewerbliche Nutzung,ZI,industriell-gewerblich oder durch sonstige Nutzungen dominierte Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,76.467,1,1,eindeutig_zugeordnet
19039,48.237458,16.367661,20,20,20,20063,2006,92006,20B,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,85.543,1,1,eindeutig_zugeordnet
19040,48.200578,16.390838,3,3,3,03094,0309,90309,3B,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,52.551,1,1,eindeutig_zugeordnet
19034,48.248237,16.377192,20,20,20,20012,2001,92001,20A,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,68.322,1,1,eindeutig_zugeordnet
18983,48.183051,16.328777,12,12,12,12050,1205,91205,12B,A,"Zentrum, Altstadt und Gründerzeit",AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,72.603,1,1,eindeutig_zugeordnet
18984,48.232305,16.445905,22,22,22,22152,2215,92215,22E,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,31.097,1,1,eindeutig_zugeordnet
18985,48.213749,16.312595,16,16,16,16040,1604,91604,16C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,82.926,1,1,eindeutig_zugeordnet
18986,48.154091,16.362863,10,10,10,10133,1013,91013,10H,C,Bebauung mit überwiegend durchgrüntem Geschoßwohnbau,CXY,stark durchmischte Gebiete geringerer Dichte,point_in_polygon_ray_casting,2026-09-03,1,0,0,42.253,1,1,eindeutig_zugeordnet
18987,48.213768,16.331729,16,16,16,16011,1601,91601,16A,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,10.687,1,1,eindeutig_zugeordnet
18988,48.190650,16.333064,15,15,15,15035,1503,91503,15C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,40.697,1,1,eindeutig_zugeordnet
18989,48.231016,16.377713,20,20,20,20037,2003,92003,20D,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,49.119,1,1,eindeutig_zugeordnet
18990,48.211592,16.315614,16,16,16,16031,1603,91603,16B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,61.140,1,1,eindeutig_zugeordnet
18991,48.226932,16.402526,2,2,2,02012,0201,90201,2A,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,43.893,1,1,eindeutig_zugeordnet
18992,48.219863,16.371172,2,2,2,02033,0203,90203,2C,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,36.578,1,1,eindeutig_zugeordnet
18993,48.178162,16.418327,11,11,11,11025,1102,91102,11A,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,72.391,1,1,eindeutig_zugeordnet
18994,48.249424,16.339200,19,19,19,19064,1906,91906,19A,R,Einfamilienhäuser und Kleingärten,RT,Einfamilienhausgebiete bzw. stark durchgrünte Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,12.260,1,1,eindeutig_zugeordnet
18620,48.190854,16.327258,15,15,15,15055,1505,91505,15C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,16.244,1,1,eindeutig_zugeordnet
18621,48.207662,16.392218,3,3,3,03018,0301,90301,3A,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,68.382,1,1,eindeutig_zugeordnet
18622,48.171283,16.365843,10,10,10,10102,1010,91010,10F,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,32.697,1,1,eindeutig_zugeordnet
18623,48.190905,16.370275,4,4,4,04040,0404,90404,4B,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,50.168,1,1,eindeutig_zugeordnet
18624,48.188954,16.350757,5,5,5,05041,0504,90504,5A,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,50.256,1,1,eindeutig_zugeordnet
18625,48.195082,16.317384,15,15,15,15065,1506,91506,15B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,42.384,1,1,eindeutig_zugeordnet
18626,48.226604,16.357739,9,9,9,09014,0901,90901,9A,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,71.824,1,1,eindeutig_zugeordnet
18627,48.185610,16.339483,12,12,12,12012,1201,91201,12A,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,15.055,1,1,eindeutig_zugeordnet
18628,48.175846,16.324836,12,12,12,12072,1207,91207,12C,B,zwischen- und nachkriegszeitliche Gebiete mittlerer Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,69.844,1,1,eindeutig_zugeordnet
18629,48.238789,16.369992,20,20,20,20063,2006,92006,20B,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,77.834,1,1,eindeutig_zugeordnet
18630,48.194323,16.390557,3,3,3,03052,0305,90305,3C,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,41.404,1,1,eindeutig_zugeordnet
18631,48.228247,16.359640,9,9,9,09015,0901,90901,9A,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,4.340,1,1,eindeutig_zugeordnet
18632,48.226825,16.359079,9,9,9,09015,0901,90901,9A,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,25.305,1,1,eindeutig_zugeordnet
18633,48.172004,16.388493,10,10,10,10027,1002,91002,10B,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,36.423,1,1,eindeutig_zugeordnet
18634,48.227162,16.337185,18,18,18,18023,1802,91802,18B,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,76.421,1,1,eindeutig_zugeordnet
18635,48.188268,16.326433,15,15,15,15056,1505,91505,15C,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,66.470,1,1,eindeutig_zugeordnet
18636,48.197989,16.403788,3,3,3,03102,0310,90310,3D,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,93.530,1,1,eindeutig_zugeordnet
18637,48.174127,16.410374,11,11,11,11034,1103,91103,11B,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,38.257,1,1,eindeutig_zugeordnet
