objekt_id,hofname,adresse,bezirk,bild_titel,zuordnungssicherheit,entfernung_m,quellseite_url,vorschaubild_url,fotograf,lizenz,lizenz_url,aufnahmedatum,begruendung
19041,FISCHERSTIEGE 1-7,Fischerstiege 1-7,1,File:Wien 01 Fischerstiege b.jpg,0.65,31.8,https://commons.wikimedia.org/wiki/File:Wien_01_Fischerstiege_b.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Wien_01_Fischerstiege_b.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Gugerell,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2012-10-14,Straße & Hausnummer 'fischerstiege 1' im Bildtext (+0.35) | Hervorragende Geodistanz (32m <= 40m) (+0.30)
19029,JAK.-SOMMERBAUER-STR 3,Jakob-Sommerbauer-Straße 3,23,File:Kalksburg Ehemalige O-Bus-Garage.JPG,0.65,24.0,https://commons.wikimedia.org/wiki/File:Kalksburg_Ehemalige_O-Bus-Garage.JPG,https://upload.wikimedia.org/wikipedia/commons/6/69/Kalksburg_Ehemalige_O-Bus-Garage.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Linie29,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2014-09-11 12:54:02,Straße & Hausnummer 'jakob-sommerbauer-straße 3' im Bildtext (+0.35) | Hervorragende Geodistanz (24m <= 40m) (+0.30)
19031,Franz-Koblizka-Hof,Adalbert-Stifter-Straße 35,20,File:Franz-Koblizka-Hof Wien.jpg,0.65,176.9,https://commons.wikimedia.org/wiki/File:Franz-Koblizka-Hof_Wien.jpg,https://upload.wikimedia.org/wikipedia/commons/5/52/Franz-Koblizka-Hof_Wien.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Funke,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-03-20 13:41:43,Exakter Hofname 'Franz-Koblizka-Hof' im Bildtext (+0.50) | Moderate Geodistanz (177m <= 250m) (+0.05) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18623,Bertha-von-Suttner-Hof,Waltergasse 5,4,File:Waltergasse 5 Bär.jpg,0.65,26.9,https://commons.wikimedia.org/wiki/File:Waltergasse_5_B%C3%A4r.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Waltergasse_5_B%C3%A4r.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Thomas Ledl,CC BY-SA 3.0 at,https://creativecommons.org/licenses/by-sa/3.0/at/deed.en,2014-05-15 22:16:13,Straße & Hausnummer 'waltergasse 5' im Bildtext (+0.35) | Hervorragende Geodistanz (27m <= 40m) (+0.30)
18634,PLENERGASSE 12,Plenergasse 12-14,18,"File:Plenergasse 24, Vienna 01.jpg",0.60,83.5,"https://commons.wikimedia.org/wiki/File:Plenergasse_24,_Vienna_01.jpg",https://upload.wikimedia.org/wikipedia/commons/9/9b/Plenergasse_24%2C_Vienna_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2019-08-18 12:49:03,Straße & Hausnummer 'plenergasse 12' im Bildtext (+0.35) | Sehr gute Geodistanz (84m <= 90m) (+0.25)
18581,HERMANN-PACHER-GASSE 2,Karlweisgasse 41,18,File:Wien Karlweisgasse 41 Lageplan.jpg,0.75,29.6,https://commons.wikimedia.org/wiki/File:Wien_Karlweisgasse_41_Lageplan.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Wien_Karlweisgasse_41_Lageplan.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Hadi,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2018-01-01,Straße & Hausnummer 'karlweisgasse 41' im Bildtext (+0.35) | Hervorragende Geodistanz (30m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18590,KROTTENBACHSTRASSE 183,Krottenbachstraße 183,19,File:Wien 19 Krottenbachstraße 183 a.jpg,0.65,31.2,https://commons.wikimedia.org/wiki/File:Wien_19_Krottenbachstra%C3%9Fe_183_a.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Wien_19_Krottenbachstra%C3%9Fe_183_a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Gugerell,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2014-06-10,Straße & Hausnummer 'krottenbachstraße 183' im Bildtext (+0.35) | Hervorragende Geodistanz (31m <= 40m) (+0.30)
18312,PUELSLGASSE 10,Pülslgasse 10,23,"File:Pülslgasse 10, Vienna.jpg",0.75,3.1,"https://commons.wikimedia.org/wiki/File:P%C3%BClslgasse_10,_Vienna.jpg",https://upload.wikimedia.org/wikipedia/commons/d/dc/P%C3%BClslgasse_10%2C_Vienna.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Thomas Ledl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2016-08-02 17:53:04,Straße & Hausnummer 'pülslgasse 10' im Bildtext (+0.35) | Hervorragende Geodistanz (3m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18319,REITHOFFERPLATZ 10,Reithofferplatz 10,15,File:Wien-wiener-linien-sl-49-1148426.jpg,0.60,83.6,https://commons.wikimedia.org/wiki/File:Wien-wiener-linien-sl-49-1148426.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Wien-wiener-linien-sl-49-1148426.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Kurt Rasmussen,Attribution,,2019-05-10 09:38:06,Straße & Hausnummer 'reithofferplatz 10' im Bildtext (+0.35) | Sehr gute Geodistanz (84m <= 90m) (+0.25)
18321,JOH.-NEP.-BERGER-PL. 7,Johann-Nepomuk-Berger-Platz 7,16,"File:2018-09-09 AT Wien 16 Ottakring & Wien 17 Hernals, Johann-Nepomuk-Berger-Platz, Mariensäule (50919007212).jpg",0.60,82.5,"https://commons.wikimedia.org/wiki/File:2018-09-09_AT_Wien_16_Ottakring_%26_Wien_17_Hernals,_Johann-Nepomuk-Berger-Platz,_Mariens%C3%A4ule_(50919007212).jpg",https://upload.wikimedia.org/wikipedia/commons/1/13/2018-09-09_AT_Wien_16_Ottakring_%26_Wien_17_Hernals%2C_Johann-Nepomuk-Berger-Platz%2C_Mariens%C3%A4ule_%2850919007212%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Paul Korecky,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2018-09-09 15:43,Straße & Hausnummer 'johann-nepomuk-berger-platz 7' im Bildtext (+0.35) | Sehr gute Geodistanz (82m <= 90m) (+0.25)
18323,Friedrich-Holomek-Hof,Martinstraße 92,18,File:Wien Martinstraße 92.jpg,0.75,38.9,https://commons.wikimedia.org/wiki/File:Wien_Martinstra%C3%9Fe_92.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Wien_Martinstra%C3%9Fe_92.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Hadi,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2017-12-31,Straße & Hausnummer 'martinstraße 92' im Bildtext (+0.35) | Hervorragende Geodistanz (39m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18331,WOLKERSBERGENSTRASSE 10,Wolkersbergenstraße 10,13,"File:Wolkersbergenstraße 10, Vienna.jpg",0.75,38.5,"https://commons.wikimedia.org/wiki/File:Wolkersbergenstra%C3%9Fe_10,_Vienna.jpg",https://upload.wikimedia.org/wikipedia/commons/6/6e/Wolkersbergenstra%C3%9Fe_10%2C_Vienna.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2018-11-17 15:05:43,Straße & Hausnummer 'wolkersbergenstraße 10' im Bildtext (+0.35) | Hervorragende Geodistanz (38m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18244,RAXSTRASSE 38,Raxstraße 38,10,File:Raxstraße 38 - plaque.jpg,0.75,31.3,https://commons.wikimedia.org/wiki/File:Raxstra%C3%9Fe_38_-_plaque.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Raxstra%C3%9Fe_38_-_plaque.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2015-11-04 14:54:34,Straße & Hausnummer 'raxstraße 38' im Bildtext (+0.35) | Hervorragende Geodistanz (31m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18253,LUDWIG-KOESSLER-PL. 3,Ludwig-Koeßler-Platz 3,3,File:Schlachthausgasse 2-6 - shops 1.jpg,0.65,36.1,https://commons.wikimedia.org/wiki/File:Schlachthausgasse_2-6_-_shops_1.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Schlachthausgasse_2-6_-_shops_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2016-03-12 15:54:32,Straße & Hausnummer 'ludwig-koeßler-platz 3' im Bildtext (+0.35) | Hervorragende Geodistanz (36m <= 40m) (+0.30)
18264,GRINZINGER STRASSE 2,Grinzinger Straße 2,19,"File:Grinzing (Wien) - ehem. Winzerhaus, Grinzinger Straße 17.JPG",0.60,55.8,"https://commons.wikimedia.org/wiki/File:Grinzing_(Wien)_-_ehem._Winzerhaus,_Grinzinger_Stra%C3%9Fe_17.JPG",https://upload.wikimedia.org/wikipedia/commons/d/d7/Grinzing_%28Wien%29_-_ehem._Winzerhaus%2C_Grinzinger_Stra%C3%9Fe_17.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,C.Stadler/Bwag,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2018-04-03,Straße & Hausnummer 'grinzinger straße 2' im Bildtext (+0.35) | Sehr gute Geodistanz (56m <= 90m) (+0.25)
18267,BREITENFURTER STR. 242,Breitenfurter Straße 242,23,File:Kommunaler Wohnbau Atzgersdorf 01.jpg,0.80,6.5,https://commons.wikimedia.org/wiki/File:Kommunaler_Wohnbau_Atzgersdorf_01.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Kommunaler_Wohnbau_Atzgersdorf_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Clemens PFEIFFER,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,2011-08-10 15:43:26,Straße & Hausnummer 'breitenfurter straße 242' im Bildtext (+0.35) | Hervorragende Geodistanz (6m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10) | Bezirksbezug (23. Bezirk) im Bildtext (+0.05)
18273,Dr.-Gerhard-Weißenberg-Hof,Hofmoklgasse 2-6,15,File:2020-05-12 Dr-Gerhard-Weissenberg-Hof Hofmoklgasse side.jpg,0.75,32.5,https://commons.wikimedia.org/wiki/File:2020-05-12_Dr-Gerhard-Weissenberg-Hof_Hofmoklgasse_side.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/2020-05-12_Dr-Gerhard-Weissenberg-Hof_Hofmoklgasse_side.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Rosso Robot,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2020-05-12 15:05:41,Straße & Hausnummer 'hofmoklgasse 2' im Bildtext (+0.35) | Hervorragende Geodistanz (32m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18275,VORGARTENSTRASSE 198,Vorgartenstraße 198,2,File:Vorgartenstraße 198.jpg,0.75,27.9,https://commons.wikimedia.org/wiki/File:Vorgartenstra%C3%9Fe_198.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Vorgartenstra%C3%9Fe_198.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2018-04-24 15:38:04,Straße & Hausnummer 'vorgartenstraße 198' im Bildtext (+0.35) | Hervorragende Geodistanz (28m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18277,QUELLENPLATZ 4,Quellenplatz 4,10,File:Wien-wiener-linien-sl-6-842160.jpg,0.65,34.5,https://commons.wikimedia.org/wiki/File:Wien-wiener-linien-sl-6-842160.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Wien-wiener-linien-sl-6-842160.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Kurt Rasmussen,Attribution,,2015-07-09 19:01:28,Straße & Hausnummer 'quellenplatz 4' im Bildtext (+0.35) | Hervorragende Geodistanz (34m <= 40m) (+0.30)
18293,ERDBERGSTRASSE 16-28,Erdbergstraße 16-28,3,File:Grüner Wolkensitz-Erdbergstraße 36 - Foto 3.jpg,0.60,81.6,https://commons.wikimedia.org/wiki/File:Gr%C3%BCner_Wolkensitz-Erdbergstra%C3%9Fe_36_-_Foto_3.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/Gr%C3%BCner_Wolkensitz-Erdbergstra%C3%9Fe_36_-_Foto_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Austriantraveler,CC BY-SA 3.0 at,https://creativecommons.org/licenses/by-sa/3.0/at/deed.en,2014-07-24 13:21:19,Straße & Hausnummer 'erdbergstraße 16' im Bildtext (+0.35) | Sehr gute Geodistanz (82m <= 90m) (+0.25)
18295,SCHOENBRUNNER STR. 242,Schönbrunner Straße 242,12,File:Mosaic Nacht by Hans Escher 02.jpg,0.75,34.5,https://commons.wikimedia.org/wiki/File:Mosaic_Nacht_by_Hans_Escher_02.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Mosaic_Nacht_by_Hans_Escher_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2015-04-19 10:28:26,Straße & Hausnummer 'schönbrunner straße 242' im Bildtext (+0.35) | Hervorragende Geodistanz (34m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18298,WIEDNER HAUPTSTRASSE 103,Wiedner Hauptstraße 103,5,File:Wiedner Hauptstraße 103.jpg,0.65,5.2,https://commons.wikimedia.org/wiki/File:Wiedner_Hauptstra%C3%9Fe_103.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Wiedner_Hauptstra%C3%9Fe_103.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,styko,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2015-03-27 17:17:37,Straße & Hausnummer 'wiedner hauptstraße 103' im Bildtext (+0.35) | Hervorragende Geodistanz (5m <= 40m) (+0.30)
18305,OSWALDGASSE 14-22,Oswaldgasse 14-22,12,"File:Kunstwerk bei Oswaldgasse 19, 1120 Wien.jpg",0.60,59.9,"https://commons.wikimedia.org/wiki/File:Kunstwerk_bei_Oswaldgasse_19,_1120_Wien.jpg",https://upload.wikimedia.org/wikipedia/commons/2/2c/Kunstwerk_bei_Oswaldgasse_19%2C_1120_Wien.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Skunk,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2018-04-03 08:39:46,Straße 'oswaldgasse' im Bildtext (+0.20) | Sehr gute Geodistanz (60m <= 90m) (+0.25) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10) | Bezirksbezug (12. Bezirk) im Bildtext (+0.05)
18382,QUADENSTRASSE 65-67,Quadenstraße 65-67,22,File:Wien-wiener-linien-sl-26-1052654.jpg,0.60,88.9,https://commons.wikimedia.org/wiki/File:Wien-wiener-linien-sl-26-1052654.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Wien-wiener-linien-sl-26-1052654.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Kurt Rasmussen,Attribution,,2017-10-18 09:04:39,Straße & Hausnummer 'quadenstraße 65' im Bildtext (+0.35) | Sehr gute Geodistanz (89m <= 90m) (+0.25)
18392,BREITENFURTER STR. 519-521,Breitenfurter Straße 519-521,23,"File:Weibliche Figur by Oskar Bottoli, 1974, Breitenfurter Straße 519 - 01.jpg",0.65,11.5,"https://commons.wikimedia.org/wiki/File:Weibliche_Figur_by_Oskar_Bottoli,_1974,_Breitenfurter_Stra%C3%9Fe_519_-_01.jpg",https://upload.wikimedia.org/wikipedia/commons/2/2a/Weibliche_Figur_by_Oskar_Bottoli%2C_1974%2C_Breitenfurter_Stra%C3%9Fe_519_-_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 3.0 at,https://creativecommons.org/licenses/by-sa/3.0/at/deed.en,2015-02-03 14:25:39,Straße & Hausnummer 'breitenfurter straße 519' im Bildtext (+0.35) | Hervorragende Geodistanz (12m <= 40m) (+0.30)
18395,STORCHENGASSE 22,Storchengasse 22,15,File:Storchengasse 16-20.jpg,0.60,33.4,https://commons.wikimedia.org/wiki/File:Storchengasse_16-20.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/Storchengasse_16-20.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2016-11-01 15:07:40,Straße 'storchengasse' im Bildtext (+0.20) | Hervorragende Geodistanz (33m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18396,HUETTELDORFER STR. 3-5,Hütteldorfer Straße 3-5,15,File:Wien-wiener-linien-sl-6-1080561.jpg,0.60,76.0,https://commons.wikimedia.org/wiki/File:Wien-wiener-linien-sl-6-1080561.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Wien-wiener-linien-sl-6-1080561.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Kurt Rasmussen,Attribution,,2018-04-19 08:42:13,Straße & Hausnummer 'hütteldorfer straße 3' im Bildtext (+0.35) | Sehr gute Geodistanz (76m <= 90m) (+0.25)
18337,OBERE AUGARTENSTR. 12-14,Obere Augartenstraße 12-14,2,File:Wien 02 Obere Augartenstraße 12B a.jpg,0.65,34.6,https://commons.wikimedia.org/wiki/File:Wien_02_Obere_Augartenstra%C3%9Fe_12B_a.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Wien_02_Obere_Augartenstra%C3%9Fe_12B_a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Gugerell,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2021-12-21 11:01:24,Straße & Hausnummer 'obere augartenstraße 12' im Bildtext (+0.35) | Hervorragende Geodistanz (35m <= 40m) (+0.30)
18338,DUERERGASSE 5,Dürergasse 5,6,File:Dürergasse 5.jpg,0.75,1.8,https://commons.wikimedia.org/wiki/File:D%C3%BCrergasse_5.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/D%C3%BCrergasse_5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Thomas Ledl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2016-07-21 15:38:03,Straße & Hausnummer 'dürergasse 5' im Bildtext (+0.35) | Hervorragende Geodistanz (2m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18336,Liskahof,Fünkhgasse 2,14,"File:Liska-Hof, Fünkhgasse 2 03.jpg",0.65,26.2,"https://commons.wikimedia.org/wiki/File:Liska-Hof,_F%C3%BCnkhgasse_2_03.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d0/Liska-Hof%2C_F%C3%BCnkhgasse_2_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Braveheart,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2017-10-01 16:21:55,Straße & Hausnummer 'fünkhgasse 2' im Bildtext (+0.35) | Hervorragende Geodistanz (26m <= 40m) (+0.30)
18354,BRUNNER STRASSE 18,Brunner Straße 18,23,File:Brunner Straße 18 gesamt.jpg,0.75,14.0,https://commons.wikimedia.org/wiki/File:Brunner_Stra%C3%9Fe_18_gesamt.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Brunner_Stra%C3%9Fe_18_gesamt.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Thomas Ledl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2016-11-01 16:05:52,Straße & Hausnummer 'brunner straße 18' im Bildtext (+0.35) | Hervorragende Geodistanz (14m <= 40m) (+0.30) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18366,WEIMARER STRASSE 8-10,Weimarer Straße 8-10,18,File:Wien 18 Weimarer Straße 014.jpg,0.60,73.9,https://commons.wikimedia.org/wiki/File:Wien_18_Weimarer_Stra%C3%9Fe_014.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Wien_18_Weimarer_Stra%C3%9Fe_014.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Gugerell,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2020-02-08 12:08:53,Straße & Hausnummer 'weimarer straße 8' im Bildtext (+0.35) | Sehr gute Geodistanz (74m <= 90m) (+0.25)
18461,SCHLOEGLGASSE 71,Schlöglgasse 71,12,"File:Mosaic ""Wald"" by Toman Emil, Schlöglgasse 71, Hetzendorf.jpg",0.70,42.3,"https://commons.wikimedia.org/wiki/File:Mosaic_%22Wald%22_by_Toman_Emil,_Schl%C3%B6glgasse_71,_Hetzendorf.jpg",https://upload.wikimedia.org/wikipedia/commons/7/7c/Mosaic_%22Wald%22_by_Toman_Emil%2C_Schl%C3%B6glgasse_71%2C_Hetzendorf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Herzi Pinki,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2013-11-10 14:56:26,Straße & Hausnummer 'schlöglgasse 71' im Bildtext (+0.35) | Sehr gute Geodistanz (42m <= 90m) (+0.25) | Gemeindebau/Kommunalbau-Kontext im Bildtext (+0.10)
18481,MAGDALENENSTRASSE 9,Magdalenenstraße 9,6,File:Wien06 Magdalenenstraße013 2018-05-19 GuentherZ GD Dassanowsky 1398.jpg,0.60,53.5,https://commons.wikimedia.org/wiki/File:Wien06_Magdalenenstra%C3%9Fe013_2018-05-19_GuentherZ_GD_Dassanowsky_1398.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Wien06_Magdalenenstra%C3%9Fe013_2018-05-19_GuentherZ_GD_Dassanowsky_1398.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GuentherZ,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2018-05-19 09:51:15,Straße & Hausnummer 'magdalenenstraße 9' im Bildtext (+0.35) | Sehr gute Geodistanz (54m <= 90m) (+0.25)
18486,ERDBERGSTRASSE 36,Erdbergstraße 36,3,File:Grüner Wolkensitz-Erdbergstraße 36 - Foto 3.jpg,0.60,54.0,https://commons.wikimedia.org/wiki/File:Gr%C3%BCner_Wolkensitz-Erdbergstra%C3%9Fe_36_-_Foto_3.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/Gr%C3%BCner_Wolkensitz-Erdbergstra%C3%9Fe_36_-_Foto_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Austriantraveler,CC BY-SA 3.0 at,https://creativecommons.org/licenses/by-sa/3.0/at/deed.en,2014-07-24 13:21:19,Straße & Hausnummer 'erdbergstraße 36' im Bildtext (+0.35) | Sehr gute Geodistanz (54m <= 90m) (+0.25)
18412,GRUENDORFGASSE 4,Gründorfgasse 4,14,File:Wien 14 Meiselstraße 075 a.jpg,0.60,45.3,https://commons.wikimedia.org/wiki/File:Wien_14_Meiselstra%C3%9Fe_075_a.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Wien_14_Meiselstra%C3%9Fe_075_a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Gugerell,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2014-05-31,Straße & Hausnummer 'gründorfgasse 4' im Bildtext (+0.35) | Sehr gute Geodistanz (45m <= 90m) (+0.25)
