indikator_code,stichtag,einheit,total,amtlich,berechnet,null_count,nicht_verfuegbar,min_wert,max_wert,ungewichteter_mittelwert_zaehlbezirke,gewichteter_wien_gesamtwert,sum_wert
anteil_einpersonenwohnungen_prozent,2011-10-31,%,250,0,0,250,250,,,,,
anteil_einpersonenwohnungen_prozent,2021-10-31,%,250,0,0,250,250,,,,,
anteil_einpersonenwohnungen_prozent,2023-10-31,%,250,0,0,250,250,,,,,
anteil_personen_in_hauptmiete_prozent,2011-10-31,%,250,0,250,0,0,0.0000,97.0007,67.3929,73.6246,16848.2365
anteil_personen_in_hauptmiete_prozent,2021-10-31,%,250,0,249,1,1,4.0791,97.1931,70.3343,75.8408,17513.2332
anteil_personen_in_hauptmiete_prozent,2023-10-31,%,250,0,249,1,1,4.7192,97.4889,70.0608,75.4160,17445.1403
anteil_unter_15_prozent,2011-10-31,%,250,0,250,0,0,0.0000,24.2306,14.0586,14.3607,3514.6459
anteil_unter_15_prozent,2021-10-31,%,250,0,249,1,1,0.0000,22.9665,14.3730,14.4925,3578.8828
anteil_unter_15_prozent,2023-10-31,%,250,0,249,1,1,0.0000,26.3158,14.3159,14.4597,3564.6656
bevoelkerung_gesamt,2011-10-31,Personen,250,250,0,0,0,2.0000,25208.0000,6856.9080,,1714227.0000
bevoelkerung_gesamt,2021-10-31,Personen,250,249,0,1,1,16.0000,26815.0000,7738.7952,,1926960.0000
bevoelkerung_gesamt,2023-10-31,Personen,250,249,0,1,1,17.0000,26905.0000,8023.9598,,1997966.0000
bevoelkerungsdichte_personen_je_hektar,2023-10-31,Personen/ha,250,0,249,1,1,0.0065,387.1697,112.3510,48.1587,27975.4014
bevoelkerungsentwicklung_2011_2023_prozent,2023-10-31,%,250,0,249,1,1,-13.3956,4529.7619,48.7145,16.5520,12129.9110
bevoelkerungsentwicklung_2011_2023_prozent_pro_jahr,2023-10-31,%/Jahr,250,0,249,1,1,-1.1913,37.6564,1.7893,1.2846,445.5436
bevoelkerungsentwicklung_2021_2023_prozent,2023-10-31,%,250,0,249,1,1,-7.6412,45.0203,4.0215,3.6849,1001.3615
bevoelkerungsentwicklung_2021_2023_prozent_pro_jahr,2023-10-31,%/Jahr,250,0,249,1,1,-3.8965,20.4244,1.9342,1.8258,481.6057
einpersonenwohnungen,2011-10-31,Personen,250,250,0,0,0,0.0000,4965.0000,1519.9800,,379995.0000
einpersonenwohnungen,2021-10-31,Personen,250,249,0,1,1,2.0000,5139.0000,1696.2490,,422366.0000
einpersonenwohnungen,2023-10-31,Personen,250,249,0,1,1,2.0000,5204.0000,1753.7068,,436673.0000
hauptwohnsitzwohnungen,2011-10-31,Wohnungen,250,250,0,0,0,1.0000,10715.0000,3350.4680,,837617.0000
hauptwohnsitzwohnungen,2021-10-31,Wohnungen,250,249,0,1,1,6.0000,11452.0000,3722.0080,,926780.0000
hauptwohnsitzwohnungen,2023-10-31,Wohnungen,250,249,0,1,1,7.0000,11452.0000,3827.6546,,953086.0000
pensionsquote_prozent,2011-10-31,%,250,0,250,0,0,0.0000,40.9631,21.1359,20.9736,5283.9650
pensionsquote_prozent,2021-10-31,%,250,0,249,1,1,0.0000,33.7504,18.5701,18.2373,4623.9553
pensionsquote_prozent,2023-10-31,%,250,0,249,1,1,4.7608,35.9256,18.1340,17.6617,4515.3617
personen_in_hauptmiete,2011-10-31,Personen,250,250,0,0,0,0.0000,22097.0000,5048.3720,,1262093.0000
personen_in_hauptmiete,2021-10-31,Personen,250,249,0,1,1,2.0000,23556.0000,5869.1647,,1461422.0000
personen_in_hauptmiete,2023-10-31,Personen,250,249,0,1,1,1.0000,23433.0000,6051.3534,,1506787.0000
personen_mit_pensionsbezug,2011-10-31,Personen,250,250,0,0,0,0.0000,5237.0000,1438.1400,,359535.0000
personen_mit_pensionsbezug,2021-10-31,Personen,250,249,0,1,1,0.0000,4829.0000,1411.3494,,351426.0000
personen_mit_pensionsbezug,2023-10-31,Personen,250,249,0,1,1,1.0000,4706.0000,1417.1647,,352874.0000
personen_unter_15,2011-10-31,Personen,250,250,0,0,0,0.0000,5041.0000,984.7000,,246175.0000
personen_unter_15,2021-10-31,Personen,250,249,0,1,1,0.0000,4900.0000,1121.5422,,279264.0000
personen_unter_15,2023-10-31,Personen,250,249,0,1,1,0.0000,4746.0000,1160.2369,,288899.0000

